epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9716,2.03205,3.2466,1.49927,0.15293,0.392,0.11301,0.04808,2.22007,3.18638,1.43369,0.00026,0.00026,0.00026
2,72.8789,1.69279,1.91099,1.1591,0.21445,0.51982,0.34513,0.16012,1.83345,2.73005,1.17233,0.000533318,0.000533318,0.000533318
3,106.142,1.67372,1.37032,1.12299,0.54131,0.35167,0.35842,0.16644,1.91695,2.51813,1.22004,0.000799705,0.000799705,0.000799705
4,140.465,1.64152,1.18217,1.11972,0.49438,0.42652,0.38866,0.1827,1.96666,2.16009,1.24054,0.00105916,0.00105916,0.00105916
5,178.542,1.55964,1.08075,1.08754,0.49356,0.4272,0.36177,0.16778,2.13722,2.14347,1.26603,0.00131169,0.00131169,0.00131169
6,215.848,1.52798,1.01809,1.10611,0.63131,0.66714,0.64694,0.34994,1.59917,1.33108,1.07756,0.00155729,0.00155729,0.00155729
7,253.216,1.51345,0.97071,1.08962,0.75908,0.67567,0.7402,0.39675,1.61759,1.17022,1.06053,0.00179596,0.00179596,0.00179596
8,291.983,1.4455,0.88493,1.06711,0.5852,0.608,0.51019,0.25781,1.70752,1.37848,1.10607,0.00182675,0.00182675,0.00182675
9,333.946,1.47686,0.90383,1.08587,0.71705,0.68319,0.74955,0.41429,1.55152,1.00285,1.0598,0.001802,0.001802,0.001802
10,376.327,1.48532,0.87726,1.08166,0.76275,0.74641,0.79885,0.45,1.50175,0.94395,1.05484,0.00177725,0.00177725,0.00177725
11,416.367,1.41126,0.85347,1.07252,0.78612,0.73889,0.78305,0.45317,1.43997,1.01129,1.02564,0.0017525,0.0017525,0.0017525
12,460.386,1.42385,0.83741,1.06827,0.72971,0.65231,0.69903,0.3895,1.49401,0.90289,1.04692,0.00172775,0.00172775,0.00172775
13,507.747,1.44786,0.83166,1.07369,0.80465,0.66022,0.73966,0.42829,1.45051,0.89402,1.02801,0.001703,0.001703,0.001703
