epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5459,2.35171,6.44262,1.74882,0,0,0,0,2.0397,6.43782,1.361,7.56e-06,7.56e-06,7.56e-06
2,94.4324,2.15721,6.42886,1.65182,0,0,0,0,2.08655,6.47037,1.41069,1.50951e-05,1.50951e-05,1.50951e-05
3,133.95,2.0385,6.41267,1.56702,0,0,0,0,2.0022,6.4572,1.37375,2.23197e-05,2.23197e-05,2.23197e-05
4,174.426,1.97698,6.39954,1.51982,0,0,0,0,1.95102,6.44012,1.349,2.63368e-05,2.63368e-05,2.63368e-05
5,214.028,1.87356,6.38032,1.44993,0,0,0,0,1.88162,6.40154,1.30548,2.57824e-05,2.57824e-05,2.57824e-05
6,259.88,1.82517,6.34893,1.4077,0,0,0,0,1.84849,6.37472,1.28536,2.5228e-05,2.5228e-05,2.5228e-05
7,306.548,1.81148,6.3162,1.38516,0,0,0,0,1.8084,6.34942,1.26399,2.46736e-05,2.46736e-05,2.46736e-05
8,349.294,1.69405,6.28401,1.31423,0,0,0,0,1.76049,6.33087,1.2358,2.41192e-05,2.41192e-05,2.41192e-05
9,395.493,1.70485,6.24841,1.30352,0,0,0,0,1.70875,6.31034,1.20658,2.35648e-05,2.35648e-05,2.35648e-05
10,439.416,1.63241,6.20729,1.27954,0,0,0,0,1.68909,6.29402,1.19012,2.30104e-05,2.30104e-05,2.30104e-05
11,482.365,1.5966,6.15888,1.25132,0,0,0,0,1.65884,6.26644,1.16849,2.2456e-05,2.2456e-05,2.2456e-05
12,536.54,1.63281,6.15562,1.23886,0.01075,0.00154,0.00614,0.00492,1.63339,6.25206,1.15806,2.19016e-05,2.19016e-05,2.19016e-05
13,589.875,1.60091,6.13939,1.21818,0.00358,0.00154,0.00309,0.00247,1.61466,6.23575,1.14752,2.13472e-05,2.13472e-05,2.13472e-05
14,642.247,1.59947,6.08263,1.20875,0.00269,0.00154,0.00193,0.00154,1.6013,6.21113,1.13266,2.07928e-05,2.07928e-05,2.07928e-05
15,700.963,1.57396,6.05568,1.20575,0.00119,0.00154,0.00129,0.00103,1.59038,6.19143,1.12433,2.02384e-05,2.02384e-05,2.02384e-05
16,759.901,1.56537,6.0354,1.17788,0.00098,0.00154,0.0012,0.00096,1.59064,6.17538,1.12023,1.9684e-05,1.9684e-05,1.9684e-05
